,MovieName,Rating,Genre,Runtime,Stars
0,Stranger Things,8.9,Comedy| Horror| Thriller,51 min,Stars:Millie Bobby Brown| Finn Wolfhard| Winona Ryder| David Harbour
1,Child's Play,6.4,Comedy| Horror| Thriller,90 min,Director:Lars Klevberg|     Stars:Aubrey Plaza| Mark Hamill| Gabriel Bateman| Brian Tyree Henry
2,Annabelle Comes Home,6.4,Comedy| Horror| Thriller,106 min,Director:Gary Dauberman|     Stars:Vera Farmiga| Patrick Wilson| Mckenna Grace| Madison Iseman
3,Midsommar,8,Comedy| Horror| Thriller,147 min,Director:Ari Aster|     Stars:Florence Pugh| Jack Reynor| William Jackson Harper| Vilhelm Blomgren
4,Brightburn,6.4,Comedy| Horror| Thriller,90 min,Director:David Yarovesky|     Stars:Elizabeth Banks| David Denman| Jackson A. Dunn| Abraham Clinkscales
5,I Am Mother,6.8,Comedy| Horror| Thriller,113 min,Director:Grant Sputore|     Stars:Luke Hawker| Rose Byrne| Maddie Lenton| Summer Lenton
6,Us,7,Comedy| Horror| Thriller,116 min,Director:Jordan Peele|     Stars:Lupita Nyong'o| Winston Duke| Elisabeth Moss| Tim Heidecker
7,Shingeki no kyojin,8.8,Comedy| Horror| Thriller,24 min,Stars:Marina Inoue| Yûki Kaji| Yui Ishikawa| Josh Grelle
8,The Walking Dead,8.3,Comedy| Horror| Thriller,44 min,Stars:Andrew Lincoln| Norman Reedus| Melissa McBride| Lauren Cohan
9,Supernatural,8.5,Comedy| Horror| Thriller,44 min,Stars:Jared Padalecki| Jensen Ackles| Jim Beaver| Misha Collins
10,The Dead Don't Die,6,Comedy| Horror| Thriller,104 min,Director:Jim Jarmusch|     Stars:Bill Murray| Adam Driver| Tom Waits| Chloë Sevigny
11,Swamp Thing,8.4,Comedy| Horror| Thriller,60 min,Stars:Crystal Reed| Virginia Madsen| Andy Bean| Derek Mears
12,Pet Sematary,5.9,Comedy| Horror| Thriller,101 min,Directors:Kevin Kölsch| Dennis Widmyer|     Stars:Jason Clarke| Amy Seimetz| John Lithgow| Jeté Laurence
13,Crawl,-1,Comedy| Horror| Thriller,87 min,Director:Alexandre Aja|     Stars:Kaya Scodelario| Barry Pepper| Ross Anderson| Anson Boon
14,Fear the Walking Dead,7,Comedy| Horror| Thriller,44 min,Stars:Kim Dickens| Frank Dillane| Cliff Curtis| Rubén Blades
15,American Horror Story,8.1,Comedy| Horror| Thriller,60 min,Stars:Lady Gaga| Kathy Bates| Angela Bassett| Sarah Paulson
16,Hereditary,7.3,Comedy| Horror| Thriller,127 min,Director:Ari Aster|     Stars:Toni Collette| Milly Shapiro| Gabriel Byrne| Alex Wolff
17,It Chapter Two,-1,Comedy| Horror| Thriller,-1,Director:Andy Muschietti|     Stars:Bill Skarsgård| James McAvoy| Jessica Chastain| Finn Wolfhard
18,NOS4A2,6.8,Comedy| Horror| Thriller,60 min,Stars:Ashleigh Cummings| Ólafur Darri Ólafsson| Jahkara Smith| Ebon Moss-Bachrach
19,Doctor Sleep,-1,Comedy| Horror| Thriller,-1,Director:Mike Flanagan|     Stars:Rebecca Ferguson| Ewan McGregor| Jacob Tremblay| Zahn McClarnon
20,The Perfection,6.1,Comedy| Horror| Thriller,90 min,Director:Richard Shepard|     Stars:Allison Williams| Logan Browning| Alaina Huffman| Steven Weber
21,Ready or Not,-1,Comedy| Horror| Thriller,95 min,Directors:Matt Bettinelli-Olpin| Tyler Gillett|     Stars:Samara Weaving| Andie MacDowell| Mark O'Brien| Adam Brody
22,The Nun,5.4,Comedy| Horror| Thriller,96 min,Director:Corin Hardy|     Stars:Demián Bichir| Taissa Farmiga| Jonas Bloquet| Bonnie Aarons
23,The Haunting of Hill House,8.7,Comedy| Horror| Thriller,50 min,Stars:Victoria Pedretti| Michiel Huisman| Carla Gugino| Henry Thomas
24,Ma,5.9,Comedy| Horror| Thriller,99 min,Director:Tate Taylor|     Stars:Octavia Spencer| Diana Silvers| Juliette Lewis| McKaley Miller
25,What We Do in the Shadows,8.4,Comedy| Horror| Thriller,30 min,Stars:Kayvan Novak| Matt Berry| Natasia Demetriou| Harvey Guillén
26,Child's Play,6.6,Comedy| Horror| Thriller,87 min,Director:Tom Holland|     Stars:Catherine Hicks| Chris Sarandon| Alex Vincent| Brad Dourif
27,Get Out,7.7,Comedy| Horror| Thriller,104 min,Director:Jordan Peele|     Stars:Daniel Kaluuya| Allison Williams| Bradley Whitford| Catherine Keener
28,The Vampire Diaries,7.7,Comedy| Horror| Thriller,43 min,Stars:Nina Dobrev| Paul Wesley| Ian Somerhalder| Kat Graham
29,It,7.4,Comedy| Horror| Thriller,135 min,Director:Andy Muschietti|     Stars:Bill Skarsgård| Jaeden Martell| Finn Wolfhard| Sophia Lillis
30,iZombie,7.9,Comedy| Horror| Thriller,42 min,Stars:Rose McIver| Malcolm Goodwin| Rahul Kohli| Robert Buckley
31,Annabelle: Creation,6.5,Comedy| Horror| Thriller,109 min,Director:David F. Sandberg|     Stars:Anthony LaPaglia| Samara Lee| Miranda Otto| Brad Greenquist
32,"Love, Death & Robots",8.7,Comedy| Horror| Thriller,15 min,Stars:Scott Whyte| Nolan North| Matthew Yang King| Michael Benyaer
33,Zombieland: Double Tap,-1,Comedy| Horror| Thriller,-1,Director:Ruben Fleischer|     Stars:Emma Stone| Zoey Deutch| Abigail Breslin| Rosario Dawson
34,Chilling Adventures of Sabrina,7.7,Comedy| Horror| Thriller,60 min,Stars:Kiernan Shipka| Ross Lynch| Lucy Davis| Chance Perdomo
